"","biToken","Ranking"
"272","such a",276
"273","me and",276
"274","it would",276
"275","ill be",276
"276","i wanna",276
"277","i see",276
"278","great day",276
"279","good to",276
"280","follow back",276
"281","at pm",276
"282","and you",276
"283","a bad",276
"284","you were",292
"285","what do",292
"286","we need",292
"287","was just",292
"288","to take",292
"289","on this",292
"290","love your",292
"291","know if",292
"292","its been",292
"293","it will",292
"294","is going",292
"295","have you",292
"296","do i",292
"297","come on",292
"298","can i",292
"299","but it",292
"300","able to",292
"301","you like",313
"302","we can",313
"303","up for",313
"304","to work",313
"305","to talk",313
"306","to follow",313
"307","to come",313
"308","this year",313
"309","the rt",313
"310","needs to",313
"311","my new",313
"312","my first",313
"313","makes me",313
"314","like that",313
"315","just a",313
"316","its the",313
"317","is this",313
"318","is my",313
"319","in this",313
"320","i do",313
"321","having a",313
"322","come to",313
"323","be there",313
"324","back in",313
"325","and it",313
"326","you get",338
"327","you all",338
"328","working on",338
"329","whats the",338
"330","what are",338
"331","too much",338
"332","tonight at",338
"333","to your",338
"334","to watch",338
"335","to help",338
"336","the th",338
"337","the game",338
"338","some of",338
"339","out there",338
"340","love that",338
"341","listening to",338
"342","know that",338
"343","is on",338
"344","is in",338
"345","if youre",338
"346","i still",338
"347","have no",338
"348","from a",338
"349","excited to",338
"350","better than",338
"351","yeah i",362.5
"352","what the",362.5
"353","want a",362.5
"354","up in",362.5
"355","the show",362.5
"356","the other",362.5
"357","thats a",362.5
"358","tell me",362.5
"359","over the",362.5
"360","out for",362.5
"361","not to",362.5
"362","might be",362.5
"363","me know",362.5
"364","me im",362.5
"365","looks like",362.5
"366","like it",362.5
"367","have the",362.5
"368","for this",362.5
"369","dont want",362.5
"370","dont think",362.5
"371","day to",362.5
"372","at am",362.5
"373","as well",362.5
"374","about it",362.5
"375","youre not",387.5
"376","you just",387.5
"377","wants to",387.5
"378","wanted to",387.5
"379","to win",387.5
"380","to start",387.5
"381","thinking about",387.5
"382","that the",387.5
"383","talking about",387.5
"384","sounds like",387.5
"385","social media",387.5
"386","on that",387.5
"387","not the",387.5
"388","mothers day",387.5
"389","may be",387.5
"390","made me",387.5
"391","life is",387.5
"392","kind of",387.5
"393","im just",387.5
"394","im in",387.5
"395","i never",387.5
"396","how are",387.5
"397","gonna be",387.5
"398","following me",387.5
"399","and im",387.5
"400","all i",387.5
"401","will you",416
"402","well i",416
"403","wait for",416
"404","up the",416
"405","try to",416
"406","to play",416
"407","to our",416
"408","time for",416
"409","this week",416
"410","so good",416
"411","on it",416
"412","of all",416
"413","no one",416
"414","my friend",416
"415","me too",416
"416","like i",416
"417","know how",416
"418","it in",416
"419","i saw",416
"420","get the",416
"421","for some",416
"422","first time",416
"423","dont like",416
"424","day of",416
"425","because i",416
"426","as the",416
"427","and my",416
"428","and get",416
"429","and all",416
"430","an amazing",416
"431","a week",416
"432","why i",451
"433","we do",451
"434","watching the",451
"435","up on",451
"436","up and",451
"437","today is",451
"438","to it",451
"439","to find",451
"440","talk to",451
"441","so many",451
"442","so far",451
"443","shout out",451
"444","rt i",451
"445","off the",451
"446","my phone",451
"447","my friends",451
"448","must be",451
"449","most of",451
"450","me up",451
"451","look like",451
"452","look at",451
"453","is to",451
"454","is getting",451
"455","into the",451
"456","if u",451
"457","if it",451
"458","how much",451
"459","have an",451
"460","had to",451
"461","going on",451
"462","glad you",451
"463","glad to",451
"464","do that",451
"465","and then",451
"466","and that",451
"467","a nice",451
"468","a movie",451
"469","a huge",451
"470","a bit",451
"471","you cant",489
"472","would have",489
"473","who is",489
"474","went to",489
"475","to tell",489
"476","to stop",489
"477","the right",489
"478","that they",489
"479","supposed to",489
"480","so glad",489
"481","please follow",489
"482","out on",489
"483","on facebook",489
"484","me in",489
"485","make me",489
"486","know you",489
"487","it out",489
"488","it all",489
"489","is what",489
"490","is there",489
"491","im gonna",489
"492","here i",489
"493","haha i",489
"494","get some",489
"495","get my",489
"496","for it",489
"497","for all",489
"498","can get",489
"499","can do",489
"500","can be",489
"501","but the",489
"502","be able",489
"503","away from",489
"504","at my",489
"505","and we",489
"506","and now",489
"507","a long",489
"508","you you",529
"509","you love",529
"510","you got",529
"511","will get",529
"512","was so",529
"513","waiting for",529
"514","to meet",529
"515","think of",529
"516","the whole",529
"517","the fuck",529
"518","the end",529
"519","rt if",529
"520","pretty sure",529
"521","people who",529
"522","one day",529
"523","of those",529
"524","my dad",529
"525","looking at",529
"526","listen to",529
"527","like you",529
"528","lets go",529
"529","let us",529
"530","is your",529
"531","is only",529
"532","is an",529
"533","is all",529
"534","if we",529
"535","i mean",529
"536","i did",529
"537","hope to",529
"538","here in",529
"539","great to",529
"540","get your",529
"541","for our",529
"542","come back",529
"543","cant get",529
"544","can we",529
"545","but its",529
"546","before i",529
"547","at this",529
"548","and its",529
"549","am i",529
"550","a big",529
"551","you still",576
"552","years ago",576
"553","would you",576
"554","with that",576
"555","where you",576
"556","when they",576
"557","we love",576
"558","valentines day",576
"559","today and",576
"560","to use",576
"561","to try",576
"562","to sleep",576
"563","to for",576
"564","to eat",576
"565","the old",576
"566","talk about",576
"567","out i",576
"568","off to",576
"569","of us",576
"570","of this",576
"571","of them",576
"572","of that",576
"573","not going",576
"574","new york",576
"575","my heart",576
"576","make sure",576
"577","like my",576
"578","it its",576
"579","it doesnt",576
"580","is like",576
"581","into a",576
"582","instead of",576
"583","in it",576
"584","in his",576
"585","i wonder",576
"586","how you",576
"587","how do",576
"588","he was",576
"589","hard to",576
"590","for sharing",576
"591","find out",576
"592","end of",576
"593","dont forget",576
"594","day is",576
"595","congrats to",576
"596","chance to",576
"597","around the",576
"598","and they",576
"599","a man",576
"600","a day",576
"601","a couple",576
"602","your life",633.5
"603","you say",633.5
"604","you need",633.5
"605","you make",633.5
"606","you be",633.5
"607","you at",633.5
"608","yes i",633.5
"609","were not",633.5
"610","welcome to",633.5
"611","we all",633.5
"612","up my",633.5
"613","u can",633.5
"614","today i",633.5
"615","to school",633.5
"616","to keep",633.5
"617","theres a",633.5
"618","the top",633.5
"619","the one",633.5
"620","the house",633.5
"621","that one",633.5
"622","than the",633.5
"623","still have",633.5
"624","our new",633.5
"625","of his",633.5
"626","now that",633.5
"627","not sure",633.5
"628","my mind",633.5
"629","my last",633.5
"630","my house",633.5
"631","my head",633.5
"632","much fun",633.5
"633","lets get",633.5
"634","its like",633.5
"635","its all",633.5
"636","it the",633.5
"637","is now",633.5
"638","im still",633.5
"639","im on",633.5
"640","id like",633.5
"641","i missed",633.5
"642","i might",633.5
"643","how i",633.5
"644","got it",633.5
"645","good night",633.5
"646","getting ready",633.5
"647","get back",633.5
"648","for that",633.5
"649","down to",633.5
"650","dont you",633.5
"651","didnt know",633.5
"652","could have",633.5
"653","come in",633.5
"654","call me",633.5
"655","been to",633.5
"656","been a",633.5
"657","be on",633.5
"658","be my",633.5
"659","at work",633.5
"660","at me",633.5
"661","are not",633.5
"662","all my",633.5
"663","all about",633.5
"664","about you",633.5
"665","about my",633.5
"666","you would",708
"667","you see",708
"668","you go",708
"669","you didnt",708
"670","would like",708
"671","work on",708
"672","wish you",708
"673","when we",708
"674","when u",708
"675","when im",708
"676","were a",708
"677","we should",708
"678","up a",708
"679","to this",708
"680","to think",708
"681","to look",708
"682","to check",708
"683","to catch",708
"684","to bring",708
"685","thing i",708
"686","then i",708
"687","the year",708
"688","the rest",708
"689","the people",708
"690","the past",708
"691","the hell",708
"692","thats what",708
"693","that we",708
"694","that it",708
"695","so excited",708
"696","send me",708
"697","san diego",708
"698","out at",708
"699","on to",708
"700","on me",708
"701","no matter",708
"702","nice to",708
"703","next time",708
"704","name is",708
"705","my own",708
"706","much i",708
"707","much for",708
"708","me the",708
"709","me that",708
"710","me on",708
"711","me for",708
"712","me back",708
"713","make the",708
"714","love my",708
"715","like me",708
"716","keep it",708
"717","just made",708
"718","it so",708
"719","it and",708
"720","is having",708
"721","is coming",708
"722","interested in",708
"723","in for",708
"724","im sorry",708
"725","im getting",708
"726","if they",708
"727","i wasnt",708
"728","i said",708
"729","i look",708
"730","i bet",708
"731","get off",708
"732","for more",708
"733","for an",708
"734","excited for",708
"735","cause i",708
"736","can u",708
"737","but you",708
"738","but if",708
"739","because of",708
"740","be happy",708
"741","are too",708
"742","are so",708
"743","are a",708
"744","and she",708
"745","and have",708
"746","all your",708
"747","all that",708
"748","about that",708
"749","a chance",708
"750","a break",708
"751","youre welcome",806.5
"752","your support",806.5
"753","you on",806.5
"754","you my",806.5
"755","you going",806.5
"756","you feel",806.5
"757","you could",806.5
"758","you been",806.5
"759","year i",806.5
"760","with her",806.5
"761","will have",806.5
"762","why is",806.5
"763","why do",806.5
"764","when youre",806.5
"765","when the",806.5
"766","when my",806.5
"767","when it",806.5
"768","was in",806.5
"769","to bed",806.5
"770","tired of",806.5
"771","this time",806.5
"772","this summer",806.5
"773","think its",806.5
"774","they were",806.5
"775","there was",806.5
"776","them to",806.5
"777","the word",806.5
"778","the weekend",806.5
"779","the gym",806.5
"780","than a",806.5
"781","tell you",806.5
"782","sure to",806.5
"783","stop by",806.5
"784","since i",806.5
"785","should have",806.5
"786","she was",806.5
"787","she is",806.5
"788","say hi",806.5
"789","rt the",806.5
"790","proud of",806.5
"791","people in",806.5
"792","people are",806.5
"793","on friday",806.5
"794","not that",806.5
"795","no problem",806.5
"796","no more",806.5
"797","no longer",806.5
"798","no idea",806.5
"799","new year",806.5
"800","my best",806.5
"801","moment when",806.5
"802","me some",806.5
"803","me my",806.5
"804","me if",806.5
"805","man i",806.5
"806","live in",806.5
"807","last week",806.5
"808","last nights",806.5
"809","know the",806.5
"810","just to",806.5
"811","just saw",806.5
"812","just dont",806.5
"813","join us",806.5
"814","its hard",806.5
"815","it with",806.5
"816","it when",806.5
"817","it just",806.5
"818","it for",806.5
"819","it but",806.5
"820","is amazing",806.5
"821","in one",806.5
"822","in love",806.5
"823","in la",806.5
"824","im pretty",806.5
"825","if your",806.5
"826","i used",806.5
"827","i believe",806.5
"828","hope the",806.5
"829","he is",806.5
"830","have fun",806.5
"831","happy mothers",806.5
"832","got to",806.5
"833","got the",806.5
"834","got my",806.5
"835","good day",806.5
"836","give you",806.5
"837","give me",806.5
"838","get in",806.5
"839","for us",806.5
"840","everyone is",806.5
"841","even know",806.5
"842","day and",806.5
"843","coming to",806.5
"844","come out",806.5
"845","but still",806.5
"846","but not",806.5
"847","be so",806.5
"848","be like",806.5
"849","be at",806.5
"850","are in",806.5
"851","are going",806.5
"852","are all",806.5
"853","anyone know",806.5
"854","and not",806.5
"855","and he",806.5
"856","am going",806.5
"857","about how",806.5
"858","a year",806.5
"859","a time",806.5
"860","a show",806.5
"861","a guy",806.5
"862","a free",806.5
"863","your mom",918.5
"864","your favorite",918.5
"865","your day",918.5
"866","you its",918.5
"867","you had",918.5
"868","would love",918.5
"869","with us",918.5
"870","with and",918.5
"871","who wants",918.5
"872","when your",918.5
"873","what was",918.5
"874","what to",918.5
"875","what they",918.5
"876","well im",918.5
"877","we get",918.5
"878","wanna be",918.5
"879","two weeks",918.5
"880","to learn",918.5
"881","to buy",918.5
"882","to and",918.5
"883","through the",918.5
"884","thought it",918.5
"885","thought i",918.5
"886","this world",918.5
"887","think im",918.5
"888","they have",918.5
"889","the season",918.5
"890","the power",918.5
"891","the city",918.5
"892","thanks so",918.5
"893","text me",918.5
"894","stay tuned",918.5
"895","some more",918.5
"896","so we",918.5
"897","so the",918.5
"898","so so",918.5
"899","so happy",918.5
"900","say that",918.5
"901","said that",918.5
"902","read the",918.5
"903","out and",918.5
"904","or not",918.5
"905","or a",918.5
"906","on what",918.5
"907","of time",918.5
"908","of being",918.5
"909","not be",918.5
"910","not as",918.5
"911","my name",918.5
"912","my eyes",918.5
"913","my day",918.5
"914","much more",918.5
"915","more about",918.5
"916","might have",918.5
"917","make my",918.5
"918","love this",918.5
"919","love me",918.5
"920","let the",918.5
"921","ive never",918.5
"922","ive got",918.5
"923","it a",918.5
"924","is too",918.5
"925","is over",918.5
"926","is one",918.5
"927","is gonna",918.5
"928","is better",918.5
"929","in san",918.5
"930","in our",918.5
"931","in front",918.5
"932","in dc",918.5
"933","in an",918.5
"934","im about",918.5
"935","ice cream",918.5
"936","i wanted",918.5
"937","i heard",918.5
"938","i hear",918.5
"939","i forgot",918.5
"940","i always",918.5
"941","i aint",918.5
"942","i agree",918.5
"943","have some",918.5
"944","have my",918.5
"945","has the",918.5
"946","happy friday",918.5
"947","great weekend",918.5
"948","for sure",918.5
"949","for lunch",918.5
"950","find a",918.5
"951","do a",918.5
"952","did not",918.5
"953","day in",918.5
"954","day at",918.5
"955","congrats on",918.5
"956","coming back",918.5
"957","catch up",918.5
"958","cant believe",918.5
"959","can help",918.5
"960","came out",918.5
"961","but then",918.5
"962","be back",918.5
"963","back from",918.5
"964","as you",918.5
"965","and to",918.5
"966","and make",918.5
"967","and ill",918.5
"968","an email",918.5
"969","according to",918.5
"970","about a",918.5
"971","a while",918.5
"972","a very",918.5
"973","a single",918.5
"974","a girl",918.5
"975","yourself to",1063
"976","your business",1063
"977","you the",1063
"978","you look",1063
"979","you follow",1063
"980","you did",1063
"981","yet but",1063
"982","would make",1063
"983","with this",1063
"984","with them",1063
"985","with all",1063
"986","will do",1063
"987","where are",1063
"988","when people",1063
"989","whats up",1063
"990","what did",1063
"991","we were",1063
"992","we go",1063
"993","us know",1063
"994","up i",1063
"995","u know",1063
"996","u guys",1063
"997","tweet me",1063
"998","tried to",1063
"999","too many",1063
"1000","today but",1063
"1001","today at",1063
"1002","to tweet",1063
"1003","to read",1063
"1004","to put",1063
"1005","to listen",1063
"1006","to everyone",1063
"1007","to connect",1063
"1008","to change",1063
"1009","those who",1063
"1010","think about",1063
"1011","the worst",1063
"1012","the things",1063
"1013","the summer",1063
"1014","the st",1063
"1015","the second",1063
"1016","the night",1063
"1017","the morning",1063
"1018","the man",1063
"1019","the future",1063
"1020","the final",1063
"1021","the fact",1063
"1022","the biggest",1063
"1023","the big",1063
"1024","the band",1063
"1025","that sounds",1063
"1026","that my",1063
"1027","that im",1063
"1028","starting to",1063
"1029","sometimes i",1063
"1030","someone who",1063
"1031","so you",1063
"1032","so hard",1063
"1033","seems like",1063
"1034","see that",1063
"1035","see if",1063
"1036","really want",1063
"1037","out with",1063
"1038","out in",1063
"1039","out a",1063
"1040","only one",1063
"1041","one more",1063
"1042","one is",1063
"1043","on you",1063
"1044","on our",1063
"1045","oh well",1063
"1046","oh my",1063
"1047","of me",1063
"1048","now its",1063
"1049","now im",1063
"1050","not yet",1063
"1051","not just",1063
"1052","night for",1063
"1053","next year",1063
"1054","my wife",1063
"1055","my hair",1063
"1056","my ass",1063
"1057","me so",1063
"1058","may have",1063
"1059","make you",1063
"1060","love is",1063
"1061","lol rt",1063
"1062","like this",1063
"1063","like im",1063
"1064","lack of",1063
"1065","know i",1063
"1066","just like",1063
"1067","just have",1063
"1068","just had",1063
"1069","its time",1063
"1070","its my",1063
"1071","it that",1063
"1072","it on",1063
"1073","it im",1063
"1074","it before",1063
"1075","is very",1063
"1076","is up",1063
"1077","is no",1063
"1078","is just",1063
"1079","is about",1063
"1080","in their",1063
"1081","in nyc",1063
"1082","im glad",1063
"1083","im done",1063
"1084","id be",1063
"1085","i told",1063
"1086","i should",1063
"1087","i needed",1063
"1088","i may",1063
"1089","i knew",1063
"1090","i go",1063
"1091","i come",1063
"1092","hunger games",1063
"1093","hope everyone",1063
"1094","him to",1063
"1095","high school",1063
"1096","he said",1063
"1097","have it",1063
"1098","have any",1063
"1099","guess i",1063
"1100","great time",1063
"1101","go get",1063
"1102","go back",1063
"1103","give a",1063
"1104","get there",1063
"1105","get out",1063
"1106","front of",1063
"1107","from your",1063
"1108","from you",1063
"1109","from my",1063
"1110","friends and",1063
"1111","for their",1063
"1112","for her",1063
"1113","follow my",1063
"1114","excited about",1063
"1115","every time",1063
"1116","dont wanna",1063
"1117","dont get",1063
"1118","dont even",1063
"1119","done with",1063
"1120","does not",1063
"1121","does it",1063
"1122","did it",1063
"1123","check it",1063
"1124","cant even",1063
"1125","can make",1063
"1126","by a",1063
"1127","but a",1063
"1128","bout to",1063
"1129","being a",1063
"1130","before the",1063
"1131","be an",1063
"1132","bad bad",1063
"1133","back on",1063
"1134","as i",1063
"1135","are we",1063
"1136","any of",1063
"1137","and your",1063
"1138","and will",1063
"1139","and thanks",1063
"1140","and so",1063
"1141","and see",1063
"1142","and for",1063
"1143","and do",1063
"1144","an hour",1063
"1145","after the",1063
"1146","about your",1063
"1147","a thing",1063
"1148","a person",1063
"1149","a happy",1063
"1150","a blast",1063
"1151","a bitch",1063
"1152","youre the",1262.5
"1153","youre in",1262.5
"1154","youre a",1262.5
"1155","your heart",1262.5
"1156","you wish",1262.5
"1157","you there",1262.5
"1158","you really",1262.5
"1159","you please",1262.5
"1160","you must",1262.5
"1161","you come",1262.5
"1162","you but",1262.5
"1163","you better",1262.5
"1164","years old",1262.5
"1165","wow i",1262.5
"1166","with some",1262.5
"1167","win a",1262.5
"1168","who will",1262.5
"1169","who can",1262.5
"1170","which is",1262.5
"1171","whats your",1262.5
"1172","what we",1262.5
"1173","what about",1262.5
"1174","weekend i",1262.5
"1175","we had",1262.5
"1176","we did",1262.5
"1177","way you",1262.5
"1178","way i",1262.5
"1179","watch the",1262.5
"1180","was like",1262.5
"1181","use it",1262.5
"1182","us in",1262.5
"1183","us at",1262.5
"1184","up there",1262.5
"1185","up at",1262.5
"1186","ugh i",1262.5
"1187","u have",1262.5
"1188","too i",1262.5
"1189","too bad",1262.5
"1190","tomorrow night",1262.5
"1191","tomorrow morning",1262.5
"1192","tomorrow at",1262.5
"1193","today so",1262.5
"1194","to write",1262.5
"1195","to that",1262.5
"1196","to stay",1262.5
"1197","to show",1262.5
"1198","to live",1262.5
"1199","to hit",1262.5
"1200","to finish",1262.5
"1201","to celebrate",1262.5
"1202","to an",1262.5
"1203","time with",1262.5
"1204","time in",1262.5
"1205","till i",1262.5
"1206","think you",1262.5
"1207","they say",1262.5
"1208","they can",1262.5
"1209","there i",1262.5
"1210","the sun",1262.5
"1211","the street",1262.5
"1212","the story",1262.5
"1213","the perfect",1262.5
"1214","the library",1262.5
"1215","the internet",1262.5
"1216","the good",1262.5
"1217","thats why",1262.5
"1218","thats all",1262.5
"1219","that will",1262.5
"1220","that makes",1262.5
"1221","than that",1262.5
"1222","than i",1262.5
"1223","tell us",1262.5
"1224","sure you",1262.5
"1225","story on",1262.5
"1226","still in",1262.5
"1227","someone else",1262.5
"1228","some great",1262.5
"1229","so true",1262.5
"1230","so to",1262.5
"1231","so proud",1262.5
"1232","so bad",1262.5
"1233","sign up",1262.5
"1234","show tonight",1262.5
"1235","seems to",1262.5
"1236","see u",1262.5
"1237","see a",1262.5
"1238","say i",1262.5
"1239","same here",1262.5
"1240","rt rt",1262.5
"1241","rest of",1262.5
"1242","put the",1262.5
"1243","people to",1262.5
"1244","out this",1262.5
"1245","or just",1262.5
"1246","one i",1262.5
"1247","on tv",1262.5
"1248","on their",1262.5
"1249","on saturday",1262.5
"1250","of what",1262.5
"1251","now is",1262.5
"1252","no i",1262.5
"1253","needs a",1262.5
"1254","my th",1262.5
"1255","my son",1262.5
"1256","my man",1262.5
"1257","my brother",1262.5
"1258","my birthday",1262.5
"1259","my baby",1262.5
"1260","much to",1262.5
"1261","much as",1262.5
"1262","mom and",1262.5
"1263","me your",1262.5
"1264","me with",1262.5
"1265","me when",1262.5
"1266","me please",1262.5
"1267","me out",1262.5
"1268","me of",1262.5
"1269","me its",1262.5
"1270","may not",1262.5
"1271","matter what",1262.5
"1272","make your",1262.5
"1273","made it",1262.5
"1274","made a",1262.5
"1275","look for",1262.5
"1276","lol you",1262.5
"1277","lol im",1262.5
"1278","let you",1262.5
"1279","last year",1262.5
"1280","know why",1262.5
"1281","just want",1262.5
"1282","just the",1262.5
"1283","just for",1262.5
"1284","just finished",1262.5
"1285","its just",1262.5
"1286","it makes",1262.5
"1287","it be",1262.5
"1288","it again",1262.5
"1289","is such",1262.5
"1290","is still",1262.5
"1291","is i",1262.5
"1292","is for",1262.5
"1293","is doing",1262.5
"1294","is at",1262.5
"1295","is always",1262.5
"1296","in town",1262.5
"1297","in that",1262.5
"1298","in chicago",1262.5
"1299","im trying",1262.5
"1300","im at",1262.5
"1301","if the",1262.5
"1302","if so",1262.5
"1303","i remember",1262.5
"1304","i keep",1262.5
"1305","i gotta",1262.5
"1306","i felt",1262.5
"1307","i already",1262.5
"1308","how was",1262.5
"1309","hope your",1262.5
"1310","home and",1262.5
"1311","his first",1262.5
"1312","him in",1262.5
"1313","hey i",1262.5
"1314","here at",1262.5
"1315","heard of",1262.5
"1316","heading to",1262.5
"1317","happy new",1262.5
"1318","happy hour",1262.5
"1319","had an",1262.5
"1320","guys are",1262.5
"1321","great job",1262.5
"1322","gotta get",1262.5
"1323","got that",1262.5
"1324","gonna get",1262.5
"1325","get on",1262.5
"1326","get me",1262.5
"1327","for free",1262.5
"1328","food and",1262.5
"1329","figure out",1262.5
"1330","even more",1262.5
"1331","each other",1262.5
"1332","during the",1262.5
"1333","due to",1262.5
"1334","down the",1262.5
"1335","dont understand",1262.5
"1336","dont be",1262.5
"1337","doing a",1262.5
"1338","do we",1262.5
"1339","do this",1262.5
"1340","do is",1262.5
"1341","didnt get",1262.5
"1342","did u",1262.5
"1343","did the",1262.5
"1344","day for",1262.5
"1345","coming soon",1262.5
"1346","cinco de",1262.5
"1347","change your",1262.5
"1348","cant sleep",1262.5
"1349","bit of",1262.5
"1350","best friend",1262.5
"1351","beautiful day",1262.5
"1352","be one",1262.5
"1353","back i",1262.5
"1354","awkward moment",1262.5
"1355","as much",1262.5
"1356","are just",1262.5
"1357","and this",1262.5
"1358","and go",1262.5
"1359","am the",1262.5
"1360","am so",1262.5
"1361","all over",1262.5
"1362","all night",1262.5
"1363","access to",1262.5
"1364","about what",1262.5
"1365","about this",1262.5
"1366","a way",1262.5
"1367","a real",1262.5
"1368","a problem",1262.5
"1369","a picture",1262.5
"1370","a pic",1262.5
"1371","a friend",1262.5
"1372","a follow",1262.5
"1373","a car",1262.5
"1374","youve been",1510
"1375","your tweets",1510
"1376","your tweet",1510
"1377","your own",1510
"1378","your new",1510
"1379","your mind",1510
"1380","your friends",1510
"1381","your dreams",1510
"1382","you who",1510
"1383","you when",1510
"1384","you what",1510
"1385","you this",1510
"1386","you that",1510
"1387","you thanks",1510
"1388","you tell",1510
"1389","you soon",1510
"1390","you rt",1510
"1391","you never",1510
"1392","you may",1510
"1393","you im",1510
"1394","you ever",1510
"1395","you always",1510
"1396","yes but",1510
"1397","year old",1510
"1398","yeah but",1510
"1399","wonder if",1510
"1400","with no",1510
"1401","will see",1510
"1402","will never",1510
"1403","will follow",1510
"1404","who you",1510
"1405","where the",1510
"1406","when will",1510
"1407","what would",1510
